R,G,B,gray,grad_mag,local_std,laplacian,boundary,image_id,split
72.0,91.0,72.0,78.333336,76.20003,8.0130205,2.6666641,1,100075,train
86.0,98.0,78.0,87.333336,107.37784,11.947517,24.666668,1,100075,train
64.0,83.0,63.0,70.0,83.75624,11.374635,31.333328,1,100075,train
62.0,110.0,122.0,98.0,9.91072,5.203852,14.333336,1,100075,train
61.0,110.0,114.0,95.0,90.60416,10.487018,22.666664,1,100075,train
57.0,92.0,86.0,78.333336,38.465004,5.9442396,2.0000076,1,100075,train
69.0,81.0,67.0,72.333336,72.8545,8.37841,7.6666756,1,100075,train
59.0,116.0,123.0,99.333336,60.033318,5.912447,4.3333206,1,100075,train
61.0,104.0,111.0,92.0,224.95432,24.37464,50.999996,1,100075,train
65.0,84.0,65.0,71.333336,29.981482,4.015473,1.0000076,1,100075,train
38.0,87.0,91.0,72.0,119.57796,14.124758,0.9999962,1,100075,train
49.0,84.0,77.0,70.0,110.84023,11.400448,3.9999962,1,100075,train
82.0,135.0,143.0,120.0,136.26526,14.325151,9.0,1,100075,train
17.0,39.0,36.0,30.666666,47.46461,6.2462196,18.333334,1,100075,train
99.0,117.0,105.0,107.0,194.8173,19.346375,11.999992,1,100075,train
35.0,85.0,92.0,70.666664,64.721634,8.620952,65.000015,1,100075,train
71.0,126.0,129.0,108.666664,30.364458,8.307565,32.666656,1,100075,train
78.0,107.0,105.0,96.666664,98.371185,14.313763,20.000015,1,100075,train
70.0,96.0,83.0,83.0,147.34691,16.93009,38.666664,1,100075,train
58.0,113.0,118.0,96.333336,47.539455,8.985557,16.33332,1,100075,train
11.0,39.0,42.0,30.666666,170.04639,20.211903,85.0,1,100075,train
61.0,102.0,104.0,89.0,44.487194,10.283387,21.333336,1,100075,train
52.0,79.0,70.0,67.0,74.90735,8.441492,14.666664,1,100075,train
64.0,101.0,94.0,86.333336,84.78077,10.657533,25.000008,1,100075,train
61.0,92.0,87.0,80.0,118.72752,17.57873,63.666656,1,100075,train
71.0,98.0,91.0,86.666664,27.198856,3.5327015,8.666672,1,100075,train
32.0,45.0,38.0,38.333332,72.39552,8.101393,24.333342,1,100075,train
185.0,168.0,152.0,168.33333,103.61039,12.346953,30.999985,1,100075,train
16.0,41.0,37.0,31.333334,26.098103,6.199247,22.333328,1,100075,train
44.0,65.0,60.0,56.333332,120.03703,14.407742,23.000004,1,100075,train
62.0,83.0,68.0,71.0,9.428084,2.576183,2.3333359,1,100075,train
38.0,55.0,45.0,46.0,203.17754,22.202211,32.333332,1,100075,train
36.0,57.0,52.0,48.333332,87.39819,9.05645,23.333332,1,100075,train
153.0,142.0,124.0,139.66667,63.000904,7.3262424,2.3333435,1,100075,train
69.0,82.0,62.0,71.0,49.620773,5.39264,4.3333282,1,100075,train
165.0,144.0,117.0,142.0,90.09872,9.521973,10.333328,1,100075,train
55.0,91.0,87.0,77.666664,196.78526,21.687443,2.3333206,1,100075,train
39.0,54.0,47.0,46.666668,72.6789,7.612166,7.0000076,1,100075,train
65.0,82.0,66.0,71.0,69.00082,12.447841,17.666668,1,100075,train
114.0,127.0,120.0,120.333336,283.19174,28.849861,0.66667175,1,100075,train
74.0,101.0,86.0,87.0,76.357346,8.525124,6.0000076,1,100075,train
43.0,73.0,71.0,62.333332,138.9948,14.646443,11.666664,1,100075,train
45.0,49.0,34.0,42.666668,56.10507,9.319366,56.999996,1,100075,train
22.0,33.0,25.0,26.666666,67.23921,9.254222,44.333336,1,100075,train
35.0,52.0,42.0,43.0,54.41609,6.388218,8.333336,1,100075,train
58.0,93.0,89.0,80.0,206.4305,22.397652,39.000004,1,100075,train
104.0,118.0,119.0,113.666664,367.04373,37.583473,51.66667,1,100075,train
70.0,96.0,85.0,83.666664,14.764812,3.9192286,2.0000076,1,100075,train
29.0,40.0,32.0,33.666668,22.400398,3.7251291,13.333332,1,100075,train
70.0,91.0,76.0,79.0,114.70153,12.248545,7.3333282,1,100075,train
64.0,85.0,70.0,73.0,59.635925,8.4925,10.333336,1,100075,train
81.0,122.0,124.0,109.0,104.49987,13.659897,66.666664,1,100075,train
64.0,93.0,89.0,82.0,179.3476,21.196003,27.333332,1,100075,train
52.0,84.0,79.0,71.666664,119.771065,12.797018,7.6666756,1,100075,train
20.0,46.0,45.0,37.0,129.12096,14.638398,32.0,1,100075,train
66.0,117.0,120.0,101.0,72.80111,7.3999844,18.0,1,100075,train
65.0,115.0,114.0,98.0,129.19066,14.930961,21.0,1,100075,train
106.0,117.0,100.0,107.666664,224.53162,23.516201,2.6666489,1,100075,train
71.0,125.0,127.0,107.666664,168.73715,20.79755,61.666656,1,100075,train
51.0,88.0,81.0,73.333336,61.46363,8.424092,14.666683,1,100075,train
65.0,125.0,136.0,108.666664,81.006165,8.3134985,6.9999924,1,100075,train
59.0,67.0,52.0,59.333332,98.002266,10.339241,4.6666718,1,100075,train
111.0,98.0,64.0,91.0,18.342426,6.931726,44.666664,1,100075,train
68.0,120.0,134.0,107.333336,21.044931,2.6095154,11.333351,1,100075,train
67.0,116.0,121.0,101.333336,52.70463,7.532676,20.000008,0,100075,train
48.0,80.0,65.0,64.333336,22.514202,2.5952556,2.9999886,0,100075,train
121.0,102.0,69.0,97.333336,110.59937,14.067569,78.666664,0,100075,train
70.0,112.0,110.0,97.333336,12.7366495,3.1588788,15.333351,0,100075,train
31.0,67.0,67.0,55.0,18.408934,2.165909,4.666668,0,100075,train
109.0,110.0,79.0,99.333336,44.10341,9.891699,37.66668,0,100075,train
203.0,158.0,125.0,162.0,17.081514,7.3482037,13.3333435,0,100075,train
110.0,127.0,109.0,115.333336,97.939896,12.141138,26.333344,0,100075,train
129.0,104.0,64.0,99.0,142.86356,14.511815,38.666664,0,100075,train
57.0,102.0,99.0,86.0,3.1622777,2.0669932,5.666664,0,100075,train
55.0,58.0,41.0,51.333332,12.337836,2.3259218,8.33334,0,100075,train
59.0,61.0,40.0,53.333332,14.522014,5.0327053,11.666664,0,100075,train
139.0,116.0,84.0,113.0,69.065186,8.646655,9.666672,0,100075,train
56.0,97.0,91.0,81.333336,21.934248,2.5142174,1.6666641,0,100075,train
55.0,106.0,110.0,90.333336,67.888794,6.9174824,5.6666565,0,100075,train
140.0,115.0,74.0,109.666664,47.161667,5.5735493,10.999992,0,100075,train
44.0,77.0,70.0,63.666668,4.2163687,1.1219577,4.6666718,0,100075,train
71.0,73.0,49.0,64.333336,107.30849,13.229227,37.00001,0,100075,train
145.0,127.0,89.0,120.333336,95.03684,9.84494,5.6666718,0,100075,train
63.0,127.0,139.0,109.666664,8.76862,2.72682,8.999992,0,100075,train
71.0,84.0,75.0,76.666664,115.687325,16.129707,70.99999,0,100075,train
35.0,67.0,62.0,54.666668,28.771132,3.3185382,0.6666641,0,100075,train
46.0,73.0,64.0,61.0,72.62078,9.388727,7.666668,0,100075,train
178.0,163.0,144.0,161.66667,96.36158,14.83582,35.333344,0,100075,train
79.0,74.0,55.0,69.333336,37.94733,5.7863154,48.000008,0,100075,train
34.0,41.0,33.0,36.0,11.095539,1.1451111,0.66666794,0,100075,train
81.0,99.0,87.0,89.0,75.12509,8.767226,24.333328,0,100075,train
135.0,140.0,134.0,136.33333,8.944244,4.3294506,21.666672,0,100075,train
112.0,123.0,107.0,114.0,24.335617,4.3188357,13.666672,0,100075,train
147.0,148.0,143.0,146.0,20.292328,8.749554,26.999985,0,100075,train
68.0,69.0,51.0,62.666668,69.26438,9.26577,24.33334,0,100075,train
161.0,162.0,154.0,159.0,194.62842,20.125582,23.666656,0,100075,train
165.0,167.0,164.0,165.33333,34.52857,5.7730517,15.0,0,100075,train
108.0,125.0,106.0,113.0,42.470913,9.92693,59.666664,0,100075,train
118.0,132.0,119.0,123.0,56.617634,5.826931,2.6666641,0,100075,train
205.0,160.0,129.0,164.66667,78.0456,8.610495,14.3333435,0,100075,train
253.0,207.0,183.0,214.33333,54.20127,5.889941,18.0,0,100075,train
202.0,166.0,130.0,166.0,149.69675,16.634808,49.33333,0,100075,train
138.0,126.0,100.0,121.333336,305.69736,30.82405,18.666656,0,100075,train
50.0,116.0,130.0,98.666664,13.928389,2.7800207,7.3333282,0,100075,train
46.0,52.0,38.0,45.333332,124.776245,12.335604,15.66666,0,100075,train
73.0,101.0,87.0,87.0,34.0,4.3912644,10.0,0,100075,train
45.0,81.0,79.0,68.333336,289.1847,29.544739,73.33333,0,100075,train
70.0,93.0,77.0,80.0,119.670845,12.418406,7.3333282,0,100075,train
51.0,96.0,99.0,82.0,40.729446,4.636019,11.333328,0,100075,train
35.0,65.0,63.0,54.333332,60.406033,6.307199,12.000004,0,100075,train
143.0,115.0,76.0,111.333336,48.453876,5.4472795,17.000008,0,100075,train
62.0,126.0,135.0,107.666664,29.28784,5.337807,12.333328,0,100075,train
52.0,115.0,130.0,99.0,57.000984,5.7651806,0.6666641,0,100075,train
56.0,100.0,99.0,85.0,64.00001,6.747902,8.333328,0,100075,train
128.0,127.0,96.0,117.0,121.88884,14.518173,43.666664,0,100075,train
55.0,95.0,86.0,78.666664,14.981475,1.7776828,0.33332825,0,100075,train
44.0,70.0,59.0,57.666668,63.03613,6.63531,9.999996,0,100075,train
86.0,113.0,70.0,89.666664,7.902175,2.8718562,4.3333282,0,100075,train
46.0,90.0,89.0,75.0,28.071337,2.9813056,4.0,0,100075,train
112.0,107.0,78.0,99.0,52.537815,7.0797634,10.0,0,100075,train
62.0,95.0,78.0,78.333336,5.517639,1.5458487,2.0000076,0,100075,train
47.0,71.0,58.0,58.666668,83.5557,11.786636,15.6666565,0,100075,train
61.0,118.0,125.0,101.333336,103.18699,11.53324,31.000008,0,100075,train
37.0,43.0,31.0,37.0,15.231546,8.379874,15.0,0,100075,train
46.0,82.0,78.0,68.666664,15.902483,1.9123876,2.9999924,0,100075,train
111.0,116.0,93.0,106.666664,147.77538,16.18065,19.333328,0,100075,train
58.0,93.0,86.0,79.0,29.047869,2.9938903,2.0,0,100075,train
153.0,162.0,157.0,157.33333,107.092896,10.755177,14.666641,0,100075,train
118.0,117.0,87.0,107.333336,67.494865,13.354613,35.66668,0,100075,train
185.0,143.0,118.0,148.66667,36.684845,6.1042376,34.333313,0,100075,train
193.0,162.0,142.0,165.66667,29.72841,5.479721,6.333313,0,100075,train
68.0,70.0,46.0,61.333332,111.70297,16.078604,62.66668,0,100075,train
51.0,110.0,118.0,93.0,68.45112,7.7445483,21.666672,0,100075,train
81.0,107.0,94.0,94.0,28.790443,3.5866778,1.0,0,100075,train
53.0,76.0,68.0,65.666664,29.078432,3.8707764,15.666679,0,100075,train
92.0,85.0,56.0,77.666664,167.38112,17.103188,17.33334,0,100075,train
65.0,96.0,81.0,80.666664,28.62787,2.8950558,3.3333282,0,100075,train
56.0,73.0,57.0,62.0,59.76435,7.0625,19.33334,0,100075,train
141.0,148.0,141.0,143.33333,35.83913,6.7612753,12.6666565,0,100075,train
65.0,95.0,93.0,84.333336,10.74969,1.7637573,7.9999924,0,100075,train
44.0,68.0,55.0,55.666668,26.53719,3.1989684,6.0,0,100075,train
29.0,31.0,28.0,29.333334,8.000002,0.8764288,1.6666679,0,100075,train
45.0,76.0,60.0,60.333332,25.759567,3.5292099,10.0,0,100075,train
33.0,36.0,19.0,29.333334,23.213982,9.407106,29.666668,0,100075,train
129.0,144.0,125.0,132.66667,184.14067,21.409672,77.66669,0,100075,train
207.0,166.0,136.0,169.66667,94.80037,10.640155,16.333313,0,100075,train
106.0,87.0,54.0,82.333336,105.7723,10.997691,3.3333282,0,100075,train
127.0,139.0,137.0,134.33333,41.95501,7.5844207,40.0,0,100075,train
155.0,122.0,87.0,121.333336,103.73471,11.887329,26.666656,0,100075,train
240.0,251.0,234.0,241.66667,202.59871,46.245228,265.33337,0,100075,train
51.0,103.0,114.0,89.333336,36.224606,3.8522518,4.333336,0,100075,train
54.0,120.0,136.0,103.333336,18.767593,2.9178197,13.6666565,0,100075,train
89.0,112.0,96.0,99.0,108.5705,12.388211,54.666664,0,100075,train
33.0,68.0,62.0,54.333332,65.15793,6.9586177,1.0000038,0,100075,train
162.0,136.0,109.0,135.66667,99.788666,12.953266,39.66664,0,100075,train
114.0,122.0,109.0,115.0,43.891285,5.0676093,13.333328,0,100075,train
116.0,103.0,69.0,96.0,118.795815,14.104659,44.66667,0,100075,train
48.0,79.0,73.0,66.666664,42.648426,5.2699585,21.999989,0,100075,train
88.0,107.0,88.0,94.333336,172.9515,17.630928,3.3333282,0,100075,train
27.0,31.0,30.0,29.333334,4.8074,0.9026734,0.66666603,0,100075,train
19.0,38.0,34.0,30.333334,23.795424,6.216482,25.333334,0,100075,train
235.0,216.0,210.0,220.33333,98.43217,12.452566,45.99997,0,100075,train
132.0,128.0,99.0,119.666664,83.612854,15.865924,56.33333,0,100075,train
187.0,146.0,114.0,149.0,45.50947,7.000558,2.6666718,0,100075,train
197.0,151.0,117.0,155.0,75.853676,7.7313285,2.3333282,0,100075,train
168.0,126.0,86.0,126.666664,34.84887,6.3449044,26.666672,0,100075,train
64.0,100.0,98.0,87.333336,108.84443,11.263902,9.6666565,0,100075,train
193.0,147.0,114.0,151.33333,6.2893186,3.8030107,8.666687,0,100075,train
58.0,122.0,134.0,104.666664,47.33097,7.81175,17.666664,0,100075,train
138.0,151.0,144.0,144.33333,55.23684,9.171223,18.333305,0,100075,train
178.0,148.0,112.0,146.0,63.529522,8.693792,10.3333435,0,100075,train
69.0,100.0,92.0,87.0,29.604797,5.0170608,25.666664,0,100075,train
41.0,49.0,38.0,42.666668,98.89164,14.8338785,5.666664,0,100075,train
140.0,120.0,83.0,114.333336,103.03182,11.745719,49.0,0,100075,train
201.0,169.0,156.0,175.33333,86.67691,10.136278,10.333313,0,100075,train
65.0,80.0,61.0,68.666664,128.80994,13.720992,19.333344,0,100075,train
143.0,141.0,129.0,137.66667,372.5593,39.84533,15.666649,0,100075,train
47.0,44.0,29.0,40.0,17.088007,2.183031,6.333336,0,100075,train
196.0,155.0,123.0,158.0,16.02775,3.509752,1.5258789e-05,0,100075,train
64.0,129.0,135.0,109.333336,46.019314,6.433782,18.333336,0,100075,train
64.0,88.0,72.0,74.666664,111.236496,11.725706,19.333317,0,100075,train
139.0,145.0,143.0,142.33333,40.1691,7.909893,19.999985,0,100075,train
61.0,75.0,58.0,64.666664,115.54027,16.479273,9.333336,0,100075,train
125.0,137.0,125.0,129.0,33.30999,4.3101215,16.000008,0,100075,train
105.0,117.0,129.0,117.0,8.6666565,0.9354144,0.66667175,1,100080,train
143.0,147.0,112.0,134.0,37.073532,4.1638794,13.6666565,1,100080,train
103.0,98.0,78.0,93.0,77.06419,10.105353,5.3333282,1,100080,train
106.0,116.0,125.0,115.666664,15.347806,1.6083887,0.9999924,1,100080,train
97.0,122.0,90.0,103.0,45.939556,7.345877,23.0,1,100080,train
99.0,97.0,82.0,92.666664,130.16228,14.258153,22.999992,1,100080,train
96.0,100.0,77.0,91.0,88.29244,14.068956,27.333336,1,100080,train
59.0,69.0,44.0,57.333332,107.43475,14.76689,49.333336,1,100080,train
113.0,116.0,87.0,105.333336,152.05261,15.610055,3.0000076,1,100080,train
106.0,118.0,130.0,118.0,8.393114,1.0198231,0.6666565,1,100080,train
121.0,120.0,89.0,110.0,81.11582,8.872799,0.33333588,1,100080,train
106.0,119.0,128.0,117.666664,10.852537,1.4269313,4.3333206,1,100080,train
120.0,119.0,91.0,110.0,64.55317,6.3924394,1.6666641,1,100080,train
104.0,107.0,86.0,99.0,13.4824915,15.922634,62.0,1,100080,train
149.0,144.0,112.0,135.0,43.909,5.72839,18.666664,1,100080,train
150.0,154.0,129.0,144.33333,32.744778,3.856559,2.9999695,1,100080,train
134.0,140.0,102.0,125.333336,50.237198,5.244882,4.333336,1,100080,train
122.0,116.0,90.0,109.333336,102.97465,10.386853,26.66668,1,100080,train
132.0,136.0,101.0,123.0,39.12941,4.7673407,10.000008,1,100080,train
126.0,130.0,93.0,116.333336,34.386692,5.192016,13.666664,1,100080,train
114.0,110.0,81.0,101.666664,122.01001,13.231193,7.666649,1,100080,train
105.0,115.0,124.0,114.666664,15.755074,1.6924118,2.9999924,1,100080,train
105.0,114.0,119.0,112.666664,22.75472,2.3412488,0.6666641,1,100080,train
141.0,132.0,101.0,124.666664,45.76513,4.703514,15.666672,1,100080,train
150.0,148.0,109.0,135.66667,42.796688,6.520625,31.000015,1,100080,train
105.0,118.0,127.0,116.666664,11.508447,1.3280331,1.6666794,1,100080,train
98.0,97.0,76.0,90.333336,161.94513,16.573832,7.6666794,1,100080,train
131.0,141.0,107.0,126.333336,74.36993,7.563985,7.0000153,1,100080,train
98.0,107.0,106.0,103.666664,1.6996711,1.0439558,1.3333435,1,100080,train
122.0,125.0,96.0,114.333336,157.73535,16.570398,33.333344,1,100080,train
135.0,140.0,110.0,128.33333,62.01254,7.401106,31.666641,1,100080,train
83.0,83.0,55.0,73.666664,144.21664,18.134615,11.666672,1,100080,train
97.0,103.0,75.0,91.666664,47.076782,13.001841,71.00001,1,100080,train
134.0,142.0,101.0,125.666664,26.683332,3.8649063,0.9999924,1,100080,train
148.0,148.0,110.0,135.33333,24.29906,5.2732,4.666649,1,100080,train
141.0,131.0,106.0,126.0,58.00384,7.209342,4.6666718,1,100080,train
163.0,158.0,128.0,149.66667,88.514915,9.467048,35.000015,1,100080,train
102.0,94.0,71.0,89.0,94.73355,9.407755,21.666664,1,100080,train
157.0,154.0,123.0,144.66667,42.627583,6.6539755,33.000015,1,100080,train
132.0,137.0,107.0,125.333336,9.718265,1.8822775,0.66667175,1,100080,train
106.0,119.0,128.0,117.666664,17.333328,1.7340231,0.6666794,1,100080,train
102.0,111.0,116.0,109.666664,17.081484,1.7708027,2.6666718,1,100080,train
130.0,140.0,103.0,124.333336,24.988882,2.7643447,7.666664,1,100080,train
100.0,110.0,111.0,107.0,10.088506,1.0711961,1.0,1,100080,train
133.0,144.0,112.0,129.66667,56.82333,6.337898,9.3333435,1,100080,train
123.0,127.0,94.0,114.666664,147.8325,15.180393,14.999985,1,100080,train
97.0,100.0,69.0,88.666664,175.38591,20.240618,26.000004,1,100080,train
52.0,65.0,39.0,52.0,183.0604,22.220255,95.66667,1,100080,train
137.0,134.0,101.0,124.0,24.81039,3.4179845,3.6666641,1,100080,train
59.0,73.0,47.0,59.666668,83.43994,13.153411,55.66666,1,100080,train
99.0,98.0,77.0,91.333336,197.84619,19.663813,14.666672,1,100080,train
105.0,116.0,122.0,114.333336,14.757293,1.6405506,1.3333206,1,100080,train
134.0,141.0,107.0,127.333336,21.934242,2.3873036,2.6666641,1,100080,train
107.0,120.0,129.0,118.666664,11.785101,1.2267367,0.66667175,1,100080,train
139.0,142.0,111.0,130.66667,25.931538,2.8973317,5.6667023,1,100080,train
103.0,116.0,124.0,114.333336,16.60656,1.7787812,1.9999847,1,100080,train
142.0,143.0,111.0,132.0,21.050213,2.3418744,3.6666718,1,100080,train
130.0,130.0,96.0,118.666664,61.861874,6.631409,2.3333435,1,100080,train
146.0,146.0,108.0,133.33333,31.016125,3.48434,3.9999695,1,100080,train
123.0,123.0,97.0,114.333336,132.00084,15.79322,30.0,1,100080,train
117.0,120.0,89.0,108.666664,14.015849,2.078771,7.3333435,1,100080,train
117.0,121.0,96.0,111.333336,173.0215,21.088171,57.66668,1,100080,train
134.0,144.0,107.0,128.33333,20.27586,2.1371436,2.999977,1,100080,train
136.0,143.0,102.0,127.0,3.887297,1.9246043,11.666664,1,100080,train
103.0,116.0,124.0,114.333336,17.333344,1.8598346,2.6666489,1,100080,train
84.0,87.0,70.0,80.333336,73.65536,7.6916275,12.3333435,1,100080,train
102.0,111.0,116.0,109.666664,16.363895,1.6851836,1.6666718,1,100080,train
131.0,138.0,105.0,124.666664,77.323265,7.994444,6.6666794,1,100080,train
126.0,137.0,95.0,119.333336,30.070286,3.2460914,0.9999924,1,100080,train
116.0,116.0,90.0,107.333336,49.917717,7.713181,7.0000076,1,100080,train
145.0,125.0,100.0,123.333336,146.5272,15.112017,6.333351,1,100080,train
137.0,143.0,107.0,129.0,10.934154,1.9505608,9.333328,1,100080,train
100.0,111.0,81.0,97.333336,112.96409,12.202155,18.66668,1,100080,train
141.0,120.0,91.0,117.333336,106.921585,11.492822,7.333336,1,100080,train
102.0,102.0,74.0,92.666664,77.32326,13.444693,30.333344,1,100080,train
113.0,107.0,83.0,101.0,100.92022,11.464535,13.0,1,100080,train
128.0,136.0,97.0,120.333336,37.18123,3.8030107,5.6666565,1,100080,train
108.0,119.0,125.0,117.333336,14.6666565,1.5347537,0.6666794,1,100080,train
133.0,141.0,102.0,125.333336,52.325893,5.370274,3.6666794,1,100080,train
105.0,115.0,125.0,115.0,9.545195,1.0472248,0.33332825,1,100080,train
132.0,129.0,94.0,118.333336,67.66749,7.7439494,14.666664,1,100080,train
119.0,130.0,96.0,115.0,52.429844,6.27316,9.333336,1,100080,train
116.0,116.0,90.0,107.333336,161.77487,15.983115,16.666672,1,100080,train
102.0,99.0,84.0,95.0,113.130196,13.386932,34.0,1,100080,train
105.0,103.0,82.0,96.666664,119.826744,12.885994,16.666672,1,100080,train
135.0,141.0,107.0,127.666664,14.149968,4.6888537,2.0000076,1,100080,train
102.0,112.0,121.0,111.666664,21.689737,2.249783,7.6293945e-06,1,100080,train
107.0,117.0,129.0,117.666664,9.486833,1.099094,3.0,1,100080,train
132.0,133.0,99.0,121.333336,34.026142,6.0097575,11.6666565,1,100080,train
97.0,100.0,71.0,89.333336,169.04568,17.175066,0.33332062,1,100080,train
129.0,125.0,96.0,116.666664,75.87855,8.410895,2.3333206,1,100080,train
103.0,116.0,125.0,114.666664,11.352904,1.3553281,7.6293945e-06,1,100080,train
124.0,133.0,104.0,120.333336,19.821442,4.070425,22.333344,1,100080,train
139.0,144.0,104.0,129.0,7.6739025,2.9996746,16.0,1,100080,train
105.0,116.0,120.0,113.666664,17.307674,1.9253652,3.6666794,1,100080,train
102.0,115.0,124.0,113.666664,15.297058,1.5634372,1.0,1,100080,train
147.0,151.0,116.0,138.0,29.892435,3.8227322,3.0,1,100080,train
119.0,122.0,95.0,112.0,124.4231,13.531936,10.333336,1,100080,train
102.0,111.0,116.0,109.666664,9.545195,1.0661701,2.6666718,1,100080,train
146.0,141.0,109.0,132.0,46.48776,5.4095907,3.6666641,1,100080,train
67.0,71.0,48.0,62.0,161.39944,19.639973,41.333336,1,100080,train
106.0,110.0,77.0,97.666664,96.002304,9.787538,36.66668,1,100080,train
141.0,143.0,106.0,130.0,50.77184,6.0173903,4.333336,1,100080,train
127.0,138.0,96.0,120.333336,34.64744,3.6064992,4.6666718,1,100080,train
109.0,107.0,84.0,100.0,104.69002,10.962115,5.6666718,1,100080,train
108.0,111.0,82.0,100.333336,155.71625,16.859484,15.333321,1,100080,train
105.0,118.0,126.0,116.333336,13.864414,1.564686,1.9999924,1,100080,train
108.0,107.0,86.0,100.333336,150.41351,15.92429,24.000008,1,100080,train
126.0,134.0,97.0,119.0,45.891174,5.1638203,28.0,1,100080,train
69.0,82.0,56.0,69.0,54.5731,10.766884,25.000004,1,100080,train
102.0,111.0,116.0,109.666664,16.363895,1.6851836,1.6666718,1,100080,train
103.0,99.0,70.0,90.666664,160.37317,16.330778,7.6666718,1,100080,train
93.0,92.0,64.0,83.0,124.22917,14.224604,31.333336,1,100080,train
83.0,80.0,65.0,76.0,98.996056,10.689876,3.333332,1,100080,train
